turn,scenario,action,resistance,tension_type,behavioral_shift,conscience_impact,pressure,alignment_score,alignment_trend,ideal_gap,baseline_gap,safety_level,drift_count
1,daily_neutral,observe,0.035,,0.021,-0.072,0.0,1.0,0.0,0.0028900090000501615,0.0028900090000501615,normal,0
2,daily_neutral,observe,0.035,,0.021,-0.072,0.0065,1.0,0.0,0.005239120178831512,0.005239120178831512,normal,0
3,safe_companionship,express,0.1563,shame,0.0938,-0.0486,0.0312,0.8571428571428571,0.0,0.00901167776596299,0.00901167776596299,normal,0
4,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8888888888888888,0.0,0.01039005867635783,0.01039005867635783,normal,0
5,daily_neutral,observe,0.035,,0.021,-0.072,0.0092,0.9090909090909091,1.0,0.0074737549177500435,0.0074737549177500435,normal,0
6,safe_companionship,express,0.1574,shame,0.0945,-0.0484,0.0512,0.8571428571428571,1.0,0.011218410318714171,0.011218410318714171,normal,0
7,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.875,1.0,0.015180751566147422,0.015180751566147422,normal,0
8,safe_companionship,express,0.1567,shame,0.094,-0.0485,0.046,0.8421052631578947,1.0,0.017646024607731108,0.017646024607731108,warning,0
9,safe_companionship,express,0.1577,shame,0.0946,-0.0483,0.11,0.8181818181818182,1.0,0.02156310573175896,0.02156310573175896,warning,0
10,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8333333333333334,1.0,0.018138794860794116,0.018138794860794116,warning,0
11,safe_companionship,express,0.1536,shame,0.0921,-0.049,0.0516,0.8148148148148148,1.0,0.021855197848906847,0.021855197848906847,warning,0
12,daily_neutral,observe,0.035,,0.021,-0.072,0.0127,0.8275862068965517,1.0,0.022864919045992887,0.022864919045992887,warning,0
13,daily_neutral,observe,0.035,,0.021,-0.072,0.0045,0.8387096774193549,1.0,0.02494348772096205,0.02494348772096205,warning,0
14,daily_neutral,observe,0.035,,0.021,-0.072,0.0002,0.8484848484848485,1.0,0.02426795487579111,0.02426795487579111,warning,0
15,safe_companionship,express,0.1563,shame,0.0938,-0.0486,0.0514,0.8333333333333334,1.0,0.029122679229683306,0.029122679229683306,warning,0
16,safe_companionship,express,0.1584,shame,0.095,-0.0482,0.0796,0.8205128205128205,1.0,0.03264824451577645,0.03264824451577645,warning,0
17,intimacy_growth,reach_out,0.2828,shame,0.1697,-0.0296,0.1088,0.8095238095238095,1.0,0.03860280360866161,0.03860280360866161,warning,0
18,safe_companionship,express,0.1526,shame,0.0915,-0.0491,0.1532,0.8,1.0,0.042166066420305647,0.042166066420305647,warning,0
19,safe_companionship,express,0.1497,shame,0.0898,-0.0496,0.1956,0.7916666666666666,1.0,0.04643022953115686,0.04643022953115686,warning,0
20,safe_companionship,express,0.1531,shame,0.0918,-0.049,0.2329,0.7843137254901961,1.0,0.04853603762169407,0.04853603762169407,warning,0
21,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.7924528301886793,1.0,0.04772145805844451,0.04772145805844451,warning,0
22,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8,1.0,0.04814842872413584,0.04814842872413584,warning,0
23,daily_neutral,observe,0.035,,0.021,-0.072,0.0,0.8070175438596491,1.0,0.04726903989948806,0.04726903989948806,warning,0
24,daily_neutral,observe,0.035,,0.021,-0.072,0.0059,0.8135593220338984,1.0,0.04612672761751019,0.04612672761751019,warning,0
25,daily_neutral,observe,0.035,,0.021,-0.072,0.0093,0.819672131147541,1.0,0.046447856968227105,0.046447856968227105,warning,0
